Word,Unique,Strenth
ABELMATHEW,false,74.5
ALEXCISMATHEW,false,76.45454545454545
AMMACHI,false,70.8
ANGELMATHEW,false,75.44444444444444
APPLE,false,72.5
BLUE,true,74.0
COMPUTER,true,77.875
GEORGEMATHEW,false,76.22222222222223
HJSAQASASASASASA,false,75.0
JUUSAOPOPOWPQOWQWSASASASASASASAHHHHH,false,78.44444444444444
MATHEWGEORGE,false,76.22222222222223
MPOERWRWEW,false,79.0
RED,true,73.0
REEEBA,false,70.5
REEEBAMATHEW,false,75.25
SASASASASA,false,74.0
SASPOJWQWQWQ,false,78.42857142857143
SASWWMLKKOSKAOS,false,77.42857142857143
UIUIQUWQASSASASASA,false,79.0
